text	audience	factual	dependency	count	surfaces	sources	states
Designer suite · 136 sqm	GUEST	no		11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Penang Forest Nanyang-Style Deluxe Suite	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Penang Forest Nanyang-Style Deluxe Suite — 136 sq.m., 1 king bed (2m wide) and 1 queen bed (1.8m wide), 4 adults. Floor 16.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 237total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Designer suite · 68 sqm	GUEST	no		55	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Family Suite	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Family Suite — 68 sq.m., 1 queen bed (1.8m wide) and 1 double bed (1.5m wide), 2 adults. Floor 15-22.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 198total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	22	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Designer loft · 68–70 sqm	GUEST	no		11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Seine Evening Glow Loft Family Room	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Seine Evening Glow Loft Family Room — 68–70 sq.m., 1 queen bed (1.8m wide) and 1 double bed (1.5m wide), 4 adults. Floor 12.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Designer room · 68 sqm	GUEST	no		33	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Smart Family Room	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Smart Family Room — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 9-24.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 165total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=solarium | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Solarium Bath Suite	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Solarium Bath Suite — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 14.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 162total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Standard Single Room	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Standard Single Room — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 16.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 159total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Designer loft · 68 sqm	GUEST	no		22	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Junting City-View Loft	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Junting City-View Loft — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 14th floor.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 153total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	22	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Mid-century Amber Suite	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Mid-century Amber Suite — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 12.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Milano Minimalist Loft	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Milano Minimalist Loft — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 14th floor.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 150total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	22	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Italian Style Suite	GUEST	no		15	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Italian Style Suite — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 14th floor.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Light French Suite	GUEST	no		14	/journeys | /room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solariu	journeys.html · assets/rooms.js label() | room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections
Light French Suite — 68 sq.m., 1 queen bed (1.8m wide), 2 adults. Floor 14th floor.	GUEST	no		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 147total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Kunming Railway Station MixC Branch	GUEST	yes		12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
01 – 04 March 2027	GUEST	yes	dates (brief §2 · Overview_Hotel_Restaurant)	12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 261 total per person	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	1	/room?stay=kunming&room=left-bank	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Total per person · 3 nights · 01 – 04 March 2027	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate); dates (brief §2 · Overview_Hotel_Restaurant)	12	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=left-bank | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?st	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 87 per person / night × 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	1	/room?stay=kunming&room=left-bank	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
SURFACE 037	GUEST	no		1	/room?stay=kunming&room=left-bank	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[page title] Penang Forest Nanyang-Style Deluxe Suite · Wanxiang Yueju · Kunming · See You In Laos	ACCESSIBILITY	yes	venue / property names (Operations Master Overview)	1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Penang Forest Nanyang-Style Deluxe Suite — The bedroom	ACCESSIBILITY	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Penang Forest Nanyang-Style Deluxe Suite — The living room	ACCESSIBILITY	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Penang Forest Nanyang-Style Deluxe Suite — The kitchen and dining	ACCESSIBILITY	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Penang Forest Nanyang-Style Deluxe Suite — The reading corner	ACCESSIBILITY	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Penang Forest Nanyang-Style Deluxe Suite — Living room from above	ACCESSIBILITY	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Penang Forest Nanyang-Style Deluxe Suite — The entrance hall	ACCESSIBILITY	no		2	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Designer suite · 136 sqm · Wanxiang Yueju · Kunming	GUEST	yes	venue / property names (Operations Master Overview)	1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
One hundred and thirty-six square metres over two bedrooms and two bathrooms, around a shared living room — Nanyang-style, and the most photographed suite in the building.	GUEST	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
136 sq.m.	GUEST	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
1 king bed (2m wide) and 1 queen bed (1.8m wide)	GUEST	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
Floor 16	GUEST	no		2	/room?stay=kunming&room=penang | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
The entrance hall	GUEST	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 261total per person · 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	11	/room?stay=kunming&room=family-suite | /room?stay=kunming&room=italian | /room?stay=kunming&room=junting | /room?stay=kunming&room=light-french | /room?stay=kunming&room=mid-century | /room?stay=kunming&room=milano | /room?stay=kunming&room=penang | /room?stay=kunming&room=seine | /room?stay=kunming&room=smart-family | /room?stay=kunming&room=solarium | /room?stay=kunming&room=standard-single	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 237 total per person	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
USD 79 per person / night × 3 nights	GUEST	yes	pricing (brief §13 · Operations Master Budget/Room Rate)	1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
SURFACE 038	GUEST	no		1	/room?stay=kunming&room=penang	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[page title] Family Suite · Wanxiang Yueju · Kunming · See You In Laos	ACCESSIBILITY	yes	venue / property names (Operations Master Overview)	1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Family Suite — The window seat	ACCESSIBILITY	no		1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Family Suite — The living room	ACCESSIBILITY	no		1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Family Suite — The stair	ACCESSIBILITY	no		1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Family Suite — From above	ACCESSIBILITY	no		1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Family Suite — The second bedroom	ACCESSIBILITY	no		1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
[aria-label] Family Suite — The bedroom	ACCESSIBILITY	no		2	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
The window seat	GUEST	no		1	/room?stay=kunming&room=family-suite	room.html · assets/rooms-data.js	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em
